age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,zip-code
ALL,?,71592,Some College,10,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,48102,Some College,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,50,United-States,>50K,97202
ALL,Private,176684,Some College,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,201112,Some College,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,55,United-States,>50K,97202
ALL,Private,266803,Some College,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,97202
ALL,Private,96660,Some College,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,15024,0,34,United-States,>50K,97202
ALL,Private,119704,Some College,10,Never-married,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K,97202
ALL,Private,275190,Some College,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,97202
ALL,Private,174693,Some College,10,Widowed,Sales,Not-in-family,White,Female,0,0,25,Nicaragua,<=50K,97202
ALL,Private,112137,Some College,10,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,20,South,<=50K,97202
ALL,Private,275232,Some College,12,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,36,United-States,<=50K,97202
ALL,Local-gov,190027,Some College,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,18,United-States,<=50K,97202
ALL,Local-gov,93618,Some College,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,33,United-States,<=50K,97202
ALL,Private,353795,Some College,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,3103,0,40,United-States,>50K,97202
ALL,Private,222490,Some College,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,97202
ALL,?,150031,Some College,10,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,157991,Some College,11,Divorced,Tech-support,Unmarried,Black,Female,0,625,40,United-States,<=50K,97202
ALL,Private,373553,Some College,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,42,United-States,<=50K,97202
ALL,Private,197113,Some College,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,20,United-States,<=50K,97202
ALL,Private,203445,Some College,10,Widowed,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,220101,Some College,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,169071,Some College,10,Divorced,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K,97202
ALL,Private,228230,Some College,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,47,United-States,<=50K,97202
ALL,Private,198270,Some College,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,43,United-States,<=50K,97202
ALL,Local-gov,162919,Some College,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,25386,Some College,11,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,97202
ALL,Private,114158,Some College,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,26,United-States,<=50K,97202
ALL,Local-gov,308654,Some College,10,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K,97202
ALL,Private,209483,Some College,10,Never-married,Sales,Own-child,White,Female,0,0,47,United-States,<=50K,97202
ALL,Private,340428,Some College,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K,97202
ALL,Private,147889,Some College,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,142424,Some College,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,205581,Some College,10,Separated,Tech-support,Unmarried,White,Female,0,0,50,United-States,<=50K,97202
ALL,Private,50103,Some College,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,423616,Some College,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,36,United-States,>50K,97202
ALL,Local-gov,154033,Some College,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,97202
ALL,Self-emp-inc,38472,Some College,10,Widowed,Sales,Not-in-family,White,Female,14084,0,60,United-States,>50K,97202
ALL,Private,276229,Some College,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,State-gov,182254,Some College,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,Local-gov,178309,Some College,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,206298,Some College,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,54152,Some College,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,35,United-States,<=50K,97202
ALL,Private,212437,Some College,10,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,48,United-States,<=50K,97202
ALL,Private,213249,Some College,11,Widowed,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K,97202
ALL,Private,196508,Some College,10,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,189265,Some College,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,177895,Some College,10,Married-civ-spouse,Tech-support,Wife,White,Female,5013,0,40,United-States,<=50K,97202
ALL,Private,38251,Some College,12,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States,<=50K,97202
ALL,Private,182656,Some College,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,358465,Some College,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,42617,Some College,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K,97202
ALL,Private,71864,Some College,10,Never-married,Craft-repair,Own-child,White,Female,0,0,35,United-States,<=50K,97202
ALL,Private,360884,Some College,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,>50K,97202
ALL,State-gov,103371,Some College,11,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,?,289116,Some College,10,Never-married,?,Own-child,White,Female,0,0,5,United-States,<=50K,97202
ALL,Private,111700,Some College,10,Divorced,Sales,Other-relative,White,Female,0,0,20,United-States,>50K,97202
ALL,Private,248911,Some College,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,?,<=50K,97202
ALL,Private,182812,Some College,10,Never-married,Other-service,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K,97202
ALL,Private,234640,Some College,11,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K,97202
ALL,?,65372,Some College,10,Divorced,?,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,?,177287,Some College,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,110426,Some College,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,45,United-States,>50K,97202
ALL,Private,248186,Some College,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K,97202
ALL,Private,334105,Some College,10,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,<=50K,97202
ALL,Private,269182,Some College,10,Separated,Tech-support,Unmarried,Black,Female,3887,0,40,United-States,<=50K,97202
ALL,Private,135845,Some College,10,Never-married,Sales,Not-in-family,White,Female,0,0,37,United-States,<=50K,97202
ALL,Private,48010,Some College,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,228406,Some College,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,97202
ALL,Private,157886,Some College,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,158177,Some College,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K,97202
ALL,Private,251063,Some College,10,Separated,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K,97202
ALL,Federal-gov,139161,Some College,12,Divorced,Adm-clerical,Not-in-family,Black,Female,0,1741,40,United-States,<=50K,97202
ALL,Private,25505,Some College,11,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K,97202
ALL,Private,491862,Some College,11,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,<=50K,97202
ALL,Private,39943,Some College,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,97202
ALL,Private,46401,Some College,10,Divorced,Other-service,Not-in-family,White,Female,0,0,47,United-States,<=50K,97202
ALL,?,148955,Some College,10,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,15,South,<=50K,97202
ALL,Private,470368,Some College,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48,United-States,<=50K,97202
ALL,Private,191276,Some College,11,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,173998,Some College,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K,97202
ALL,Private,74977,Some College,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,97202
ALL,Private,88095,Some College,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,24,Mexico,<=50K,97202
ALL,Private,211731,Some College,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Mexico,<=50K,97202
ALL,Private,118993,Some College,10,Separated,Exec-managerial,Unmarried,White,Female,0,0,10,United-States,<=50K,97202
ALL,Private,58985,Some College,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,24,United-States,<=50K,97202
ALL,Private,128363,Some College,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K,97202
ALL,?,99891,Some College,10,Never-married,?,Own-child,White,Female,0,0,30,United-States,<=50K,97202
ALL,?,120617,Some College,10,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,<=50K,97202
ALL,?,126540,Some College,10,Divorced,?,Not-in-family,White,Female,0,0,5,United-States,<=50K,97202
ALL,Private,301229,Some College,11,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,97202
ALL,?,180211,Some College,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K,97202
ALL,Federal-gov,59951,Some College,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,101509,Some College,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K,97202
ALL,Private,211678,Some College,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,494223,Some College,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K,97202
ALL,Private,99374,Some College,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Self-emp-inc,257295,Some College,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K,97202
ALL,Private,231931,Some College,10,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,<=50K,97202
ALL,State-gov,184018,Some College,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,>50K,97202
ALL,Private,61777,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,116632,Some College,12,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,177905,Some College,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,58,United-States,>50K,97202
ALL,Private,22463,Some College,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,>50K,97202
ALL,Self-emp-not-inc,86646,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,97202
ALL,Private,34383,Some College,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K,97202
ALL,Local-gov,113000,Some College,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Self-emp-inc,142712,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,<=50K,97202
ALL,Private,211154,Some College,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,52,United-States,<=50K,97202
ALL,Private,175878,Some College,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,33117,Some College,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,163870,Some College,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,140863,Some College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Local-gov,176813,Some College,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,97202
ALL,Private,205839,Some College,10,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K,97202
ALL,Private,209103,Some College,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,<=50K,97202
ALL,Private,67728,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,45,United-States,<=50K,97202
ALL,State-gov,147253,Some College,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,50,United-States,<=50K,97202
ALL,Private,103395,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Local-gov,218995,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K,97202
ALL,Private,429507,Some College,12,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K,97202
ALL,State-gov,142766,Some College,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States,<=50K,97202
ALL,Private,228243,Some College,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,44,United-States,<=50K,97202
ALL,Private,235722,Some College,10,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K,97202
ALL,Private,126314,Some College,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States,<=50K,97202
ALL,Self-emp-inc,138852,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Private,160362,Some College,10,Divorced,Other-service,Other-relative,White,Male,0,0,40,Nicaragua,<=50K,97202
ALL,Federal-gov,220563,Some College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,State-gov,367237,Some College,11,Never-married,Prof-specialty,Not-in-family,White,Male,8614,0,40,United-States,>50K,97202
ALL,Local-gov,133050,Some College,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K,97202
ALL,Self-emp-inc,208302,Some College,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,United-States,>50K,97202
ALL,Private,33521,Some College,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Self-emp-inc,172826,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,99999,0,55,United-States,>50K,97202
ALL,Private,54131,Some College,10,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,127215,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K,97202
ALL,Private,241350,Some College,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Private,128143,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Private,54929,Some College,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K,97202
ALL,Private,118853,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,37869,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Local-gov,238386,Some College,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Private,236770,Some College,10,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,97202
ALL,Private,235124,Some College,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,86143,Some College,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,97202
ALL,Self-emp-not-inc,122749,Some College,11,Divorced,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K,97202
ALL,Private,174224,Some College,11,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K,97202
ALL,Private,158438,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,97202
ALL,Private,466224,Some College,10,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K,97202
ALL,Private,129059,Some College,10,Never-married,Sales,Own-child,Black,Male,0,0,30,United-States,<=50K,97202
ALL,Private,326104,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97202
ALL,Private,180656,Some College,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K,97202
ALL,Private,92079,Some College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Private,225978,Some College,10,Separated,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K,97202
ALL,Private,183735,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Private,255885,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,97202
ALL,Private,401832,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,<=50K,97202
ALL,Private,217200,Some College,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,200574,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,220115,Some College,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,113601,Some College,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,168165,Some College,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,173212,Some College,12,Never-married,Farming-fishing,Not-in-family,White,Male,2354,0,45,United-States,<=50K,97202
ALL,Private,300528,Some College,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,113436,Some College,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,35,United-States,<=50K,97202
ALL,?,134447,Some College,10,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,<=50K,97202
ALL,Private,235646,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,3103,0,40,United-States,>50K,97202
ALL,?,111563,Some College,11,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,State-gov,159537,Some College,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,249315,Some College,10,Never-married,Sales,Not-in-family,White,Male,0,0,44,United-States,<=50K,97202
ALL,Private,352248,Some College,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,189922,Some College,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K,97202
ALL,Self-emp-inc,139916,Some College,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,97202
ALL,Private,284616,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,169815,Some College,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,97202
ALL,Private,308205,Some College,12,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K,97202
ALL,Local-gov,357173,Some College,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,59,United-States,<=50K,97202
ALL,Self-emp-inc,284799,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,97202
ALL,Self-emp-not-inc,208503,Some College,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,367706,Some College,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,188571,Some College,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,97202
ALL,Private,183898,Some College,12,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,60,Germany,>50K,97202
ALL,Private,40060,Some College,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,125762,Some College,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,231981,Some College,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,32,United-States,<=50K,97202
ALL,?,34862,Some College,10,Never-married,?,Own-child,Amer-Indian-Eskimo,Male,0,0,72,United-States,<=50K,97202
ALL,Self-emp-not-inc,216129,Some College,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,173005,Some College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K,97202
ALL,?,117751,Some College,12,Divorced,?,Not-in-family,White,Male,0,0,8,United-States,<=50K,97202
ALL,Private,35032,Some College,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Private,387215,Some College,10,Never-married,Tech-support,Own-child,White,Male,0,1719,16,United-States,<=50K,97202
ALL,Private,177125,Some College,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,20,United-States,<=50K,97202
ALL,Private,188786,Some College,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K,97202
ALL,Private,120131,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United-States,>50K,97202
ALL,Self-emp-not-inc,155343,Some College,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,72,United-States,<=50K,97202
ALL,Private,62165,Some College,10,Never-married,Sales,Other-relative,Black,Male,0,0,30,United-States,<=50K,97202
ALL,Private,208598,Some College,10,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K,97202
ALL,Private,133403,Some College,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,184710,Some College,10,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K,97202
ALL,Private,123557,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,165998,Some College,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,?,397346,Some College,12,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Self-emp-not-inc,108947,Some College,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7688,0,40,United-States,>50K,97202
ALL,Private,379798,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Self-emp-not-inc,123170,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,10,United-States,<=50K,97202
ALL,Private,152940,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,33939,Some College,10,Never-married,Tech-support,Own-child,White,Male,0,0,20,United-States,<=50K,97202
ALL,Private,155659,Some College,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,45,United-States,>50K,97202
ALL,Private,154966,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,97202
ALL,Self-emp-not-inc,149220,Some College,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,75,United-States,<=50K,97202
ALL,Private,201732,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Local-gov,225605,Some College,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,<=50K,97202
ALL,Private,29250,Some College,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,10,United-States,<=50K,97202
ALL,Self-emp-inc,187720,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,97202
ALL,Local-gov,194895,Some College,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7298,0,40,United-States,>50K,97202
ALL,Self-emp-not-inc,99185,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,?,172637,Some College,10,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,>50K,97202
ALL,Self-emp-not-inc,174463,Some College,11,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,<=50K,97202
ALL,Private,224207,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Private,1184622,Some College,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,35,United-States,<=50K,97202
ALL,Private,157079,Some College,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,?,>50K,97202
ALL,Private,141003,Some College,11,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K,97202
ALL,Private,209808,Some College,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,97202
ALL,Private,104094,Some College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,142182,Some College,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,97202
ALL,Private,193494,Some College,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,>50K,97202
ALL,Private,172664,Some College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K,97202
ALL,Local-gov,301614,Some College,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United-States,>50K,97202
ALL,Private,199316,Some College,10,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,40,India,<=50K,97202
ALL,Private,216361,Some College,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,16,United-States,<=50K,97202
ALL,Private,27444,Some College,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,46,United-States,>50K,97202
ALL,Private,498325,Some College,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,97202
ALL,Private,117210,Some College,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,Greece,<=50K,97202
ALL,Private,188403,Some College,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,221396,Some College,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,97202
ALL,Private,88653,Some College,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K,97202
